id	x	y
1	77.33947	89.350174
2	-76.855515	-66.05882
3	59.80011	12.587576
4	-137.56044	-10.807893
5	-105.17396	-2.1941154
6	-71.15954	41.800095
7	50.232964	79.613
8	106.609795	30.429235
9	134.56874	-8.794898
10	37.95584	-4.4028764
11	-118.55453	17.491606
12	86.53553	44.35223
13	-33.53774	-53.682415
14	-68.25021	-89.82838
15	-96.277695	27.03029
16	36.285046	111.29945
17	93.82141	-22.947327
18	15.698701	45.20997
19	-41.122498	-7.9219613
20	-24.349709	-78.04096
21	-77.626366	12.588713
22	-50.558086	-71.7328
23	1.8295293	-83.79809
24	126.29831	57.55412
25	69.733894	62.569378
26	82.47696	21.300514
27	-109.768364	48.258163
28	97.76489	66.27444
29	20.34681	79.482956
30	-19.370369	-113.82238
31	-59.884315	-49.697998
32	56.943462	-21.53755
33	-15.789097	-29.963581
34	107.855385	4.3724694
35	15.000013	17.146292
36	135.17285	29.395533
37	40.106083	25.880228
38	-42.766838	-95.415825
39	-107.3472	-57.668896
40	63.92229	38.13843
41	-44.304123	-32.46625
42	-70.009186	-22.604462
43	-90.38721	-110.70877
44	43.362427	52.22313
45	78.39493	-2.5014231
46	111.62376	92.06184
47	-6.3223457	-56.08471
48	-97.20566	-83.04394
49	-57.44422	-121.372604
50	-85.69956	-42.282833
